waveform_id,exam_id,waveform_type,number_of_leads,Waveform_Start_Time,Sample_Type,Sample_Base,Sample_Exponent,High_Pass_Filter,Low_Pass_Filter,AC_Filter
1108973,554429,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109124,555649,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109388,555885,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109734,554104,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1109807,554104,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110100,554799,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110403,555635,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110657,555649,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110752,554415,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110837,554799,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110913,555540,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110939,555635,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1111271,555885,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1111279,554672,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1111768,556562,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1111853,556737,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1112059,556328,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1112296,556203,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1112354,556426,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1112568,556328,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1112832,556067,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113040,556183,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113103,556303,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1113441,556203,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113513,556183,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113862,556944,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1113950,556303,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1114191,556562,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1114594,556067,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1114924,556944,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1115240,556737,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1115469,556426,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099648,551415,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099739,551206,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100079,550802,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
